City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,tiarei,-17.5333,-149.3333,80.62,70,100,3.89,PF,1674373250
247,mirnyy,62.5353,113.9611,-30.77,74,98,11.01,RU,1674373251
248,dubbo,-32.25,148.6167,71.73,64,75,8.05,AU,1674373251
249,balabac,7.9868,117.0645,81.91,78,44,17.52,PH,1674373253
250,maniitsoq,65.4167,-52.9,17.58,93,100,11.05,GL,1674373254
251,westport,41.1415,-73.3579,37.02,69,100,1.99,US,1674373079
252,monte alegre,-2.0078,-54.0692,72.07,98,98,3.65,BR,1674373255
253,socorro,31.6546,-106.3033,44.31,42,0,0.0,US,1674373256
254,maningrida,-12.0667,134.2667,86.18,67,86,5.77,AU,1674373257
255,seoul,37.5683,126.9778,37.0,47,75,5.75,KR,1674373258
256,ginda,30.6945,78.4932,55.29,21,0,6.29,IN,1674373258
257,moussoro,13.6408,16.4901,76.84,14,100,13.6,TD,1674373259
258,sisimiut,66.9395,-53.6735,5.05,88,100,25.01,GL,1674373260
259,catarman,12.4989,124.6377,77.86,85,100,11.34,PH,1674373261
260,meulaboh,4.1363,96.1285,82.51,68,83,5.88,ID,1674373262
261,severo-kurilsk,50.6789,156.125,18.3,87,100,14.34,RU,1674373138
262,sungaipenuh,-2.0833,101.3833,71.06,88,94,2.82,ID,1674373263
263,rawson,-43.3002,-65.1023,69.55,47,37,19.1,AR,1674373264
264,hazorasp,41.3194,61.0742,24.64,48,0,10.04,UZ,1674373265
265,suixi,33.8907,116.7747,48.0,53,76,4.25,CN,1674373266
266,mumford,5.2618,-0.759,80.67,80,99,7.72,GH,1674373267
267,los llanos de aridane,28.6585,-17.9182,60.12,81,100,10.36,ES,1674373268
268,palana,59.1167,159.9667,-12.28,100,100,11.83,RU,1674373270
269,korla,41.7597,86.1469,19.89,57,0,11.03,CN,1674373271
270,tezu,27.9167,96.1667,77.09,23,1,3.89,IN,1674373272
271,valparaiso,-33.0393,-71.6273,64.0,92,20,1.14,CL,1674373273
272,egvekinot,66.3167,-179.1667,-23.22,81,4,9.48,RU,1674373274
273,richards bay,-28.783,32.0377,91.02,36,17,9.82,ZA,1674373275
274,berdigestyakh,62.0989,126.6992,-42.32,99,100,4.0,RU,1674373276
275,wagar,16.1525,36.2032,81.5,46,3,6.51,SD,1674373276
276,sorland,67.667,12.6934,42.66,83,100,40.26,NO,1674373277
277,nago,26.5881,127.9761,73.83,69,70,15.37,JP,1674373279
278,muroto,33.2833,134.15,49.95,63,97,8.32,JP,1674373280
